Semantic field	Indonesian gloss	English gloss	Enggano (Brouwer early 1850s)	Enggano (Boewang 1854)	Enggano South? (v. Rosenberg 1855)	Enggano Northwest? (vd Straten & S. 1855)	Enggano North (Walland 1864)	Enggano (Francis 1870)	Enggano Northwest (v. Rosenberg 1878)	Enggano (Oudemans 1879)	Enggano (Helfrich 1888)	Enggano Kèfoe (Helfrich & Pieters 1891)	Enggano Barohia (Helfrich & Pieters 1891)	Enggano (Modigliani 1894)	Enggano Pulau Dua 1895 (Stockhof 1987)	Enggano (Helfrich 1916)	Enggano (Amran et al. 1979)	Enggano (Capell 1982)	Enggano (Nothofer 1986 ms.)	Enggano (Kähler 1987)	Enggano root (Kähler 1987)	Enggano Malakoni (Kasim et al. 1987)	Enggano Banjar Sari (Kasim et al. 1987)	Enggano Meok (Yoder 2011)	Pak Aron Elicitation 2019	Contemporary Enggano (Zakaria et al. 2023)	Contemporary Enggano root	Remarks	Number of Attestations	PAN etymon	PAN gloss	PAN source	PMP etymon	PMP gloss	PMP source	Etymological source	Remark on etymology
natural objects	abu	ash										èhaĕ	èhaĕ, èhao		èhaĕ					e-ah(a)oi	[e]ahoi							meaning1894 'ash, kitchen'_meaning1895 'hearth, fireplace'_note1891: first means 'ash', second word means 'kitchen' (same word?)	4								
activities	bertanya	ask					kha-nioh					noenoehoei	noenoehoei	manunuhi	noenoehoei					kinũnṹhũĩ	nũnũ (II)								6								
activities	bertanya	ask				behoho pakenaauw								peeo	aboepèiejok													meaning1895 'ask for'	3								
activities	meminta	ask for					hoewarie				ahoewaja	aharie	aharie		aharie, aboepèiejok													meaning1864 'ask'	5								
emotion	heran	astonished										pakao	pakao																2								
	sepat	astrigent													kāākikieĕ														1								
	loteng	attic													èoko ĕ														1								
tools	gurdi	auger									horiekie	hörikie	hörikie							eohodiki	hodikV							meaning1888 'drill (n.)'_meaning1891 'rotate, auger'	4								
kinship	bibi	aunt															a dea											meaning1979 'aunt, in-law'	1								
kinship	bibi/paman	aunt/uncle						kahou		kahoe		kahou	kahou		kahaoewĕ		kahau			kahao [ehuda/ẽmãnĩ]	kahao				kahode [man]	kaho	kaho	meaning1891 'maternal uncle'_note1897K: second element means 'male/female'	9								derived from kahao 'bring up'
sleep	membangunkan	awaken																		kipadəpaʔa	dəpaʔa:								1								
sleep	membangunkan	awaken																		pa-ʔipaʔa	ʔipaʔa								1								
tools	kapak	axe					kèha				èkèh	èkèh	èkèh		èkèh					ekehe	[e]kehe					keh		meaning1895 'axe, hatchet'_meaning1987K 'hatchet'	7								
directions	belakang	back (a.)										hibai	hibai																2								
body parts	punggung	back (n.)					kha-poh							cahapò	hahapaoe					ekahupou	[e]kahupou							meaning1987K 'back, backside of humans'	4								
body parts	punggung	back (n.)																		ekũkã	kũkã (I)			kũk	kũk, iũk			meaning1987K 'trunk of a living tree, classifier for trees, beam, back(bone)'_cf. behind_cf. strong	3								
body parts	punggung	back (n.)													èkahāe					ekãhãõ, ekahau	[e]kãhãõ		k'uuq						3								
human features	buruk	bad												ibu	èieboe					ká͜ibu	ibu	yiip	yiip					cf. ugly_meaning1987K 'be grim'_meaning1987 'evil, bad'	5								
human features	buruk	bad																											0								
human features	buruk	bad																							kibob				1								
human objects	umpan	bait										nènèjĕ	nènèjĕ							enẽnẽã	nẽnẽã			nene	nene				5								
human features	botak	bald										kikaana	kikaana							kikaʔana	kaʔana:								3								
plants	bambu	bamboo	abeha		abiha	abepa	abèhah				abèha			abeha	abèha	(w)abèha			ʔaˈbɛh	e(ʔ)abeha	[e](ʔ)abeha			ʔabeh	awėh				12								
plants	bambu	bamboo																		ẽ-pã-pṹ́ʔũ	pũʔũ								1							Edwards 2015:100	lit. 'CORE-CAUS-node'
plants	rebung	bamboo sprout										komamoe	komamoe		kahamoemoe													meaning1895 'bamboo shoot, young sprout'	3								
plants	pisang	banana																		e-kibáha͜(u)	[e]kibáha							note1897K: archaic	1								
plants	pisang nangka	banana						idjo		iedjo				eígio	èietŏ			eʔitõ		eʔito, eido	[e]ʔito			ʔit	e'it			note: Musa sapientum L. / Musa paradisiaca	8								
plants	daun pisang (mati)	banana leaves (dead)																						kapareak	kapareak				2								
plants	kulit kayu	bark (n.)			oela koea										èoedie [...], èoelie [...]		eyukki, eyudiku			eʔudi ukuo	[e]ʔudi							note1895: clipping of second word, i.e. 'skin of ...'_note1979: apparently first word low register, second word high register_cf. skin, wood	4	*kuliC + *tuqəd	rind + tree stumpt	ACD	*kulit + *tuqəd	skin + tree stump	ACD	Edwards 2015:94-97, ACD 7213	e-uki variant probably via metathesis of *kulit > *kutil
plants	kulit kayu	bark (n.)									oesoe																	spelling mistake?	1								
sounds	menggonggong	bark (v.)													pakoeĕ(k) bèo					kipakúaʔa	kúaʔa			kuaʔ	ki'kua				4								
human objects	keranjang	basket										éononie	éononie			èononie				eõnõnĩ	[e]õnõnĩ							meaning1916 'k.o. rattan'_meaning1987K 'large basket for storing prepared food, fruits, etc.'	4								
animals	kelelawar	bat									hoanièk²				hoànie, èhoenie					ekanãhã͜unĩ	[e]kanãhã͜unĩ							meaning1888 'flying fox'	3								
animals	kelelawar	bat									kadeboek²				kadĕbĕ(k)					ekadabə́ʔa	[e]kadabə́ʔa								3								
abstract things	kamar mandi	bath(room)												ebo iaha baèche														note: lit. 'water for bathing'	1								
activities	mandi	bathe					baikeh	kabaike						baèche	abaikĕ			be̲he̲ke̲i		keke	eke			ʔek	ek			meaning1895 'take a bath'_meaning1982 'one bathes'	8								
activities	mandi	bathe													kabakīdjŏ					kitə, kito	kitə, kito							meaning1895 'take a bath'	2								
natural objects	teluk	bay									èkoewĕ				èhèkoewĕ														2								possibly a derivative of hẽkũ 'sit'
other	hati-hati	be careful																						ʔɘmduparauʔ					1								
activities	kena	be hit																						pah-bɘ					1								
activities	kena	be hit													kiā hoeŏ					kixuo	huo (i)							meaning1895 'hit, touch'	2								
human features	disukai	be likeable																		kiʔabuki	ʔabuki								1								
function words	ada/adalah	be/there is				kekia						kikia	kikia	chichía				kikia		kikia	kia			kiki	kiki			meaning1855vdS 'be'_meaning1891 'there is'_meaning2011 'be, at'_meaning2019 'be'	8	*ian	dwell, reside in a place	ACD	*ian	dwell, reside in a place	ACD	Zobel	the ki-form is always reduplicated (probably avoid homophony with the pronoun kia)
natural objects	pantai	beach													ejokie					eʔoki	ʔoki (II)			iok	yok			meaning1987K 'coast, beach'_meaning2011 'beach, shore'	4								likely related to ?oki 'be low tide'
natural objects	pantai	beach										ihaĕ	ihaĕ		ihiā					ehao, ehaəhəaə, ehahəao	[e]hao							meaning1987K 'beach, shore'	4								
natural objects	pantai	beach													ehadieĕ					ehedia	hedi (I)							meaning1987K 'narrow strip at the seashore, beach, coast'	2								
animals	menanggung	bear										oefĕhöjak²	oefĕhöjak²							kahoʔoaki	ʔoaki							note1891: lit. 'I'm carrying'	3								
body parts	jenggot	beard						fororo iefe, fororoîfe		fororoife		farorifo	paroripo	prururu ipo, pruru ripodia	fārŏrīfŏ, parorīpŏ, parŏrīpŏ, pārŏrīpŏ	paroriepo				eporod(o͜)ipo, eporoʔo͜ipo	[e]porodipo					por(d)oip		meaning1916 'beard, goatee'_note1894: first word 'beard', second word 'moustache' (same word?)_note1895: first and second word mean 'beard', third word means 'goatee', fourth word means 'moustache'	9								
body parts	jenggot panjang	beard (long)												prururu chidía															1								
human features	cantik	beautiful					khi-ho-ie													kakĩ́mũ	kĩmũ								2								
function words	karena	because																				diqyēp	diqyēp						2								
function words	karena	because										kienono	kienono							(ápe) a-								meaning1987K 'if, for, because'	3								
other	menjadi	become												odohoda															1								
other	menjadi	become										noa	noa																2								
human objects	tempat tidur	bed					oehouw-oenie [manu]								èoewĕhoă					eʔuehea	ʔúehe			ioʔhoe	yuhe			meaning1895 'mat'_meaning1987K 'place to sleep, bed, mat woven from leaves'_note1864: second element unclear	5								
human objects	tempat tidur	bed																		eãmĩã	ãmĩ			ʔamahai	yamahai			meaning1987K 'place to sleep, bed'	3								
	kamar tidur	bedroom															hobidi'												1								
animals	lebah	bee									èbihoe									ebixu	[e]bixu			bix	ebih			meaning1888&1987K 'wasp, bee'	4								
animals	kumbang	beetle														hèoemo													1								
time	sebelum	before													oeakanroe														1								
time	dulu	before (earlier)										aoeloe	aoedoe		baoeloe, aoeloe					(i)yáudu	yáudu							meaning1987K 'first, before, earlier'	4								
time	dulu	before (long time)												cahanua	kahanoeĕ					kahinũã	hinũã			kahenu	kahinu			meaning1894 'before (earlier)'_meaning1987K 'formerly'_meaning1895: 'once, formerly'	5								
time	dulu	before (long time)													hale					halē, hadē	halē (I)			hare				meaning1895 'formerly'_meaning1987K 'before, erstwhile, formerly, in the olden days'	3								
activities	mulai	begin (v.)												apari echia						ka?akəhəa	kəhəa							note: not clear if these forms are related	2								
activities	mulai	begin (v.)										kifèhbai	kifèhbai		kifĕhbai					kipehe, kapehei	pehe							meaning1891 'beginning'	4								
activities	mulai	begin (v.)													pèladieĕ														1								
other	berperilaku baik	behave										ijĕk²oe	ijĕk²oe															cf. conduct	2								
position	di belakang	behind												cahapò						ipou	pou:							meaning1987K 'on the backside, behind, after, later'	2								
position	di belakang	behind										èkahaĕ	èkahaĕ							ĩkãhãõ	[e]kãhãõ							meaning1891 'back (adv)'	3								
position	di belakang	behind																		ikoʔoki	[e]koʔoki								1								
position	di belakang	behind																		ĩkũkã	kũkã							cf. back (n.)_cf. strong	1								
other	percaya	believe																		kahã͜ĩkũ	hã͜ĩkũ							meaning1987K 'surmise, believe, consider'	1				*qituŋ	think about, consider	ACD	Zobel	Listed in Kähler 1987 as hãĩkũ (< hĩkũ with copy vowel), regular reflex of *(m)aŋituŋ = *(m)aN- + *qituŋ
other	percaya	believe										kidĕhöjada	kidĕhöjada															meaning1891 'believe, trust'_note1891: compound of 'belly + ?'	2								
body parts	perut	belly			koedei		kidai	kidai	kudei	kiedāi	kidai[boe]	èkidai	èkidai	echida, echiteica, echitèi	èkiedai		kiteike	kidai		ekitai, ekidai, ekidei, ekitei	[e]kitai	kita	kita	kita	kita	kita		meaning1888 'thoughts'_meaning1987K 'intestines, belly, abdomen, opinion, thoughts'_meaning1987 'belly, liver, intestines'_meaning2011 'stomach'_note1888: lit. 'your belly'_note1894: first two words mean 'belly', third word means 'heart'	18	*C<in>aqi	small intestine	ACD	*t<in>aqi	small intestine; guts; belly	ACD	Lafeber 1922:23, Kähler 1987:151, Edwards 2015:94-97	form with medial /t/ appears represent sporadic devoicing of /d/
position	di bawah	below				kaitofo		itofo, katofo		ietofo, katofo		itofo	itofo	itòpo, [paúho] tópo, [ahi]tòpo	tŏfŏ, itŏfŏ	ietopo				itopo	topo			ʔi-top	itop	i top	top	meaning1855vdS 'outside'_meaning1891 'under, descend'_meaning1916 'from the outside'_meaning1987K 'down(wards)'_note1870: first word means 'outside, low', second word means 'descend'_note1879: first word means 'low, outside, below', second word means 'descend'_note1894: first word means 'below', second and third word mean 'descend'_note1895: first word means 'below, beneath', second word means 'under'_cf. under, out/side	12								
human objects	sabuk	belt					hordjie													eʔokodo	kodo (II)			kudiʔ	kudi	kudi'		meaning1987K 'women's apron'_note: unclear if these words are related	5								
place name	Bengkulu	Bengkulu																						bakaʔaur	baka'aur			note: Where is the modern word from?	2								
plants	daun sirih	betel leaf (Piper betle)										foeroekoewĕ	poeroekoewo		foeroekoewĕ										puru' [tiri]			meaning1895 'betel'_note1891: lit. 'leaf of tree'?	4								
	lebih baik	better									kakorowaha																		1								
other	awas	beware										ĕboeĕ farouk²wĕ	ĕboeĕ farouk²wĕ																2								
place name	di luar Pulau Enggano	beyond Enggano																						ʔanɨʔ	hio'nė'			cf. unknown islands	2								
size	besar	big												amuho	amoehŏ		amuh	ʔamũhõ		ʔãmũhõ	ʔãmũhõ	amuh	amuh	ʔamuh	amuh			meaning1895 'great, big'_meaning1987K 'big, grown-up, very'	9								
size	besar	big						aieje		a-ieje		adèijĕ	adèijĕ		adèījĕ			adeijə		a͜iʔĩã	ã͜iʔĩ́õ							meaning1895 'great, big'	7								
size	besar	big													kakoeka													meaning1895 'great, big'_cf. van Rosenberg Kepoe Taigoeka 'big island'	1								
body parts	jempol kaki	big toe												ena ua						enãẽ uae	nãẽ (I)			naua	nawa			note: lit. 'mother of foot'	4								
animals	burung	bird						eke-èfe		eke-èfe		kèèf(ĕ)	kèèfa	cheèpa	kèèfa, kèèfè		ekeep	kēfə, ekeʔa̲pa̲		ekẽʔẽpã	[e]kẽʔẽpã, ẽʔẽpã	kEqEp	kEqEp	keʔep	ke'ep	ke'ep		meaning1894 'bird, aquatic animal'_meaning1987 'bird, animal'_note1895: first word means 'bird', second word means 'pigeon, fighting cock'	14	?			*kapak	flap the wings	ACD	Edwards 2015:94-97	The root is ẽʔẽpã 'fly', augmented form of ʔẽpã 'wing' < PMP *kapak, cf. 'fly'
human objects	jaring burung	bird-catching net									kahabĕ			ecahaba						ekahaba	[e]kahaba								3								
abstract things	kelahiran	birth																		eaʔa(ʔa)da	[e]ada								1								
activities	gigit	bite										haoe	haoe	hao			ha			kixau	hau (I)	‘Eha	‘Eha	(ki-)hau	kihiau				9								
activities	gigit	bite																						ka-hiken					1								
taste	pahit	bitter				djoha						kaarahĕai	kaarahĕai	cadahóai	kaarahĕai					kaʔadahəa͜i	dahə́ai			kaʔ-dɨhɨ̯ai	ka'dėhua(i)	kadėhai		cf. sour_meaning1855vdS 'sour, bitter'	9								
colours	hitam	black												caani	kahièhiè					kaʔũʔũĩ, kãʔã͜uĩ	(ʔũ)ʔũĩ(:)							note: relationship between these words unclear	3								
colours	hitam	black				keloeloe	kahèlo-èloh													kahedo	hedo							meaning1987K 'black, dark'_note1855vdS: not sure if this word is related to the others	3				*qitəm	black	ACD	Kähler 1987:72	irregular, Enggano ʔedo expected because *q > h is otherwise not attested
colours	hitam	black					khah-khoh	ka akohe				kaakoho	kaakoho		kaākŏhŏ		kaakehe	kaakoho		kaʔakõhõ	kõhõ	kaqk'eh	kaqk'eh	kaʔ-kɘ̃h	ka'kėh	kakė̃h	kė̃h	meaning1987K 'black, dark'	13								
plants	lada	black pepper												coro²	kŏrŏ-kŏrŏ														2								
human objects	selimut	blanket										èokofi	èokofi							eõkõpĩ	kõpĩ							meaning1897K 'whatever serves to cover up'	3								
abstract things	anugerah	blessing																		eaʔãkũ	[ea]ʔãkũ							meaning1987K 'fortune, blessing, success, sustenance, wealth'	1								
abstract things	anugerah	blessing										èkoedodoh	èkoedodoh																2								related to 'rich'?
human features	buta	blind					kakénèh-bakka					kakènèbaka	kakènèbaka	machene[...]	kakènèbaka, kakèbara					kãʔãkẽnẽ ebaka	kẽnẽ (I)					ka’ken bak		note1894: clipping of second part for 'eye'_note1895: the second word is perhaps a mishearing of first word_note2023: unclear if this expression is still used_note: lit. 'scabbed eyes'	7								
bodily fluids	darah	blood					kiakie							caachitri	kijakki		kiake			ekiáki	[e]kiáki	kyakh	kyakh	kiak	kiak	kiak			10								
other	meniup	blow										afoi	afoi							kapoi	poi	apo	apo	ʔa-po	kahpo			meaning1987K 'blow (away/on)'	7								
colours	biru	blue			kimona		ka-akiema		kimona																			meaning1864 'green'_meaning1878 'black'	3								
colours	biru	blue				kokoho, kako														kikehə́ʔəa	kehə́ʔəa							meaning1987K 'blue like a corpse'_note1855vdS: first word means 'blue', second word means 'green'	2								
object features	tumpul	blunt										kahaoek²	kahaoek²		kahaoe(k)					kãhãũ	hãũ: (II)								4								
human objects	papan	board (n.)										eininahak²	eininahak²																2								
human objects	kapal	boat	tahoua				lohah	elahoa	lohah	elohoa	èloka, èloha	èloha	èloha	elòha		èloha				edohoao, edohəao, etohəao, etohoao, ebodoá͜ua	[e]dohoao			dohoa	doha [nuik]	doha		meaning<1855&1864&1879&1888&1891&2023 'sampan'_meaning1870 'canoe, sampan, perahu'_meaning1894 'boat, sampan'_meaning1895 'proa, canoe'_meaning1987K '(outrigger) boat'_meaning2011&2019 'small boat'	14								
human objects	kapal	boat	[djoeba-]beri-berri			bidie bidie																							2								
human objects	daun sampan	boat decoration (with leaves)									èfoeroe èloha																	lit. 'boat leaves'	1								
body parts	badan	body						karaha		karaha					kǎrāhā					ekaraha	[e]karaha			karah	karah			meaning1987K 'trunk, body, torso, tuber (of sweet potato)'	6								
body parts	badan	body										koedodoka	koedodoka		koedŏdŏkŏ					ekudodo	[e]kudodo (I)							meaning1987K 'body, trunk, stalk'_note1891: lit. 'our bodies'	4								cf. Bare'e: dodo 'body'
body parts	bulu (badan)	body hair										toeroeroei	poeroeroei				purdu			epurudui [ukaraha]	[e]purudui							meaning1979 'body hair, feather'_meaning1987K 'bristle, hair, feather, leaf'	4								
other	mendidih	boil (intr.)																						ka-dit					1								
diseases	bisul	boil (n.)																						iaʔkeʔei					1								
diseases	bisul	boil (n.)													kĕlèpè	èkarèpè(h)				ekarepe	[e]karepe			ka-rep	karep, [tapuh] kadėkarep			meaning1916 'boil, pimple, carbuncle'_meaning1987K 'carbuncle, ulcer'	5								
activities	merebus	boil (tr.)										foedak²	foedak²							puʔuda:, kipuda, kapuda, kababuda	puda			pur	kapur				5								
human objects	guling	bolster													fahoeroe, pakoeroe														1								second element is ulu 'head
body parts	tulang	bone					ah[oe]					èa	èa	eà	èā	èa	eya		ʔɛˈa:	eʔā [ukaraha]	[e]ʔā	Ea	Ea	(ʔe)ʔea	e'eia	e'ea		note1864 lit. 'my bone'	14								
	batas	border													panaŏ					epanãʔã͜uã	[e]panãʔã͜uã							meaning1987K 'border, gap,	2								derived from [e]panõ 'between'
activities	mengebor lubang	bore a hole																						ʔohmeʔ					1								
activities	mengebor lubang	bore a hole																							kahinan				1								
other	meminjam	borrow										fèfèjak²ĕ	fèfèjak²ĕ		fèfèja(k)ĕ														3								
other	meminjam	borrow													èèhandie														1								
weapons	busur	bow (n.)								epiëko, epiéko		epiéko			èpiko(k)					eipikoʔo͜i	pikoʔo͜i							meaning1891 'arrow'_note1870: first word means 'bow and arrow', second word means 'bow'_note: Keuning (1955:192, fn. 11) says that the Enggano people never bore any bows and arrows and that the local spears were mistaken for bows and arrows_cf. arrow	4								
other	tunduk	bow down										koewadiĕ	koewadiĕ																2								
human objects	gelang	bracelet												chinaco															1								
human objects	gelang	bracelet										kalihaoewafĕ	karihaoewapo	coriáha uápo		èkarieha oe(w)apo				ekarixai uʔapo	[e]karixai							meaning1894 'black coral headbeads'_meaning1987K 'fingerring'	5								compound of karixa 'ear' + apo 'finger'
body parts	otak	brain										koforiiĕ	koporiiĕ							ekoporiʔío [ūdu], ekoropiʔío	[e]koporiʔio								3								
plants	cabang	branch												eapodia	èafodiĕ					eʔapo ukuo	[e]ʔapo							meaning1987K 'branch, twig'_note1987K: lit. meaning 'finger of tree'	3								
plants	cabang	branch																				dukup	dukup						2								
plants	cabang	branch										kok²	kok²		èko(k)					ekəʔa	kəʔa							meaning1987K 'stalk'	4								
human features	berani	brave												chèoba elà ibudia														lit. 'not ...?'	1								
human features	berani	brave					é-boek					ééboe	ééboe																3								
